This will , if not already , caused problems as there are very limited spaces for us .|||7~8~Vform~cause	14~15~Nn~space
For example , there has been a baby booming period between 1947 and 1949 in Japan but since 1949 the total fertility rate started to fall , from 4.54 to 2.04 per woman in less than 10 years and from 2.14 to only 1.29 nowadays .|||4~6~Vt~was	23~23~Vt~has
The same kind of situation is also confronted by Singapore , china , Thailand , South Korean and other Asian countries .|||8~9~Prep~in
On the other hand , the number of adult children who are willing to live with their parents fell instead of rising .|||18~19~Vt~has fallenl
In addition to getting support from adult children , it is identically important to give more employment opportunities or put off the mandatory retirement ages for the elderly , which is also a good method to ease the rapid productivity downturn as people tend to live longer than before .|||24~25~Nn~age
Similar to the problem of adult children , although the number of aging population keeps rising , the amount of old people who could get chance to work either full time or part time tends to fall due to economic and social changes that less employers want to hire old labor - from 38 percent of the population 65 and above in 1950 to 25 percent in 2000 and 22 percent in 2010 by the survey from United Nations .|||25~25~ArtOrDet~a	77~77~ArtOrDet~the
For instance , hiring the elderly as part-time worker may be a good choice for both aged and employers so as to enable the elderly to earn more as well as enhance productivity .|||8~9~Nn~workers	16~16~ArtOrDet~the
Both Singapore 's and Japan 's pension scheme cover all of the work force , which sets great financial burden upon their government .|||7~8~Nn~schemes	22~23~Nn~governments
Although it 's useful in short term to stabilize aged , with the surprising speed of growth of aging population , it will be more difficult for government to sustain this policy and in some other countries such as Indonesia , India , Philippines where the political system is not stable or the demographic structure is mainly made up of low-income working class like china these policies would not be effective .|||5~5~ArtOrDet~the	9~9~ArtOrDet~the	27~28~ArtOrDet~the governments	43~43~ArtOrDet~the
And in a country with pay-as-you-go system like Japan there will definitely be some problem in the future if government does not stop spending more on public pension as the number of retirees becomes larger and larger relative to the number of employees .|||5~5~ArtOrDet~a	14~15~Nn~problems	19~19~ArtOrDet~its
More taxes will also be conducted to future generation .|||6~7~Prep~from
The elderly is a large part of the society that can not be ignored and the best way to keep a sustainable economic development as well as give them a beautiful autumn is to set up a systematic methodology rather than focus on any single policy .|||41~42~Vform~focusing
The CPF savings are entirely invested in special government bond which are risk free and has long term interest rate.CPF have been a major source of financial supplement for most of the retired elderly .CPF ensures that all working Singaporeans have a saving that is set aside to support their needs when they retire .|||9~10~Nn~bonds
The healthcare sector has also contributed in helping to ease the aging process .|||6~7~Prep~to
The national health care expenditure have been kept at 4 % of Singapore 's gross domestic profit ( GDP ) ( Lee,2009 ) Although healthcare expenditure will inevitably rise in the coming years , the government have introduced the 3M that will help the needy in their healthcare expenditure .|||39~40~Nn~3Ms
The 3M are MediSave , MediShield and MediFund.The introduction of these 3M have helped the elderly in financing their healthcare .|||1~2~Nn~3Ms	11~12~Nn~3Ms
On top of the 3M , the government have also introduced Eldershield which is an insurance scheme that gives financial protection to those who need long-term care , especially during old age .|||4~5~Nn~3Ms
This allows patients to recuperate at community hospitals and make room for more serious medical condition to be treated in acute hospitals .|||15~16~Nn~conditions
This is an effective solution because the role of caring for the elderly is divided as effectively as possible between the private and government sectors .|||23~23~ArtOrDet~the
The Housing and Development Board have been building more studio apartments to accommodate senior citizen .|||14~15~Nn~citizens
In conclusion , most of the policies and steps taken by the government have helped eased the aging process to a large extend .|||15~16~Vform~ease
The rising trend of companies hiring more numbers of older workers is providing the elder folks greater financial stability , allowing them to have the spending power to live independently .|||13~14~ArtOrDet~
Often , the issue is that the elderly are neglected by their adult children and left to survive by their own .|||18~19~Prep~on
These two policies are some of the ways that governments are looking into to help the elderly have a better and easier life during their twilight years .|||9~10~ArtOrDet~the government
In our society , the aged have been marginalized in the struggle of the survivor of the fittest as their contributive power to society were reduced .|||23~23~ArtOrDet~the
Yet , as society matures , one can see how ingenious and novel methods have been developed and set into place to help bring the elderly from living on the margins of society into being a part of the family structure again .|||3~3~ArtOrDet~a	32~32~ArtOrDet~a
The three developments and policies highlighted are examples of the efforts made to help ease the ageing process for the elderly by helping them keep themselves relevant to society and their family .|||28~28~ArtOrDet~the
